"Alter1_ID","Alter2_ID","Weight","Ego_ID"
"BARRISTAN","JAIME",4,"AERYS"
"CATELYN","JAIME",61,"AERYS"
"BARRISTAN","JOFFREY",5,"AERYS"
"CATELYN","JOFFREY",6,"AERYS"
"JAIME","JOFFREY",13,"AERYS"
"BARRISTAN","JORAH",57,"AERYS"
"AEGON","MAESTER_AEMON",2,"AERYS"
"BARRISTAN","NED",25,"AERYS"
"CATELYN","NED",77,"AERYS"
"JAIME","NED",60,"AERYS"
"JOFFREY","NED",47,"AERYS"
"JORAH","NED",2,"AERYS"
"BARRISTAN","PYCELLE",4,"AERYS"
"JAIME","PYCELLE",2,"AERYS"
"JOFFREY","PYCELLE",21,"AERYS"
"NED","PYCELLE",68,"AERYS"
"BARRISTAN","RENLY",3,"AERYS"
"CATELYN","RENLY",30,"AERYS"
"JAIME","RENLY",6,"AERYS"
"JOFFREY","RENLY",8,"AERYS"
"NED","RENLY",30,"AERYS"
"PYCELLE","RENLY",8,"AERYS"
"JAIME","RICKARD_STARK",2,"AERYS"
"NED","RICKARD_STARK",4,"AERYS"
"BARRISTAN","ROBERT",27,"AERYS"
"CATELYN","ROBERT",15,"AERYS"
"JAIME","ROBERT",23,"AERYS"
"JOFFREY","ROBERT",33,"AERYS"
"JORAH","ROBERT",5,"AERYS"
"NED","ROBERT",199,"AERYS"
"PYCELLE","ROBERT",14,"AERYS"
"RENLY","ROBERT",35,"AERYS"
"RHAEGAR","ROBERT",2,"AERYS"
"CATELYN","SANSA",20,"AERYS"
"JAIME","SANSA",2,"AERYS"
"JOFFREY","SANSA",147,"AERYS"
"NED","SANSA",57,"AERYS"
"PYCELLE","SANSA",15,"AERYS"
"RENLY","SANSA",7,"AERYS"
"ROBERT","SANSA",17,"AERYS"
"JOFFREY","SEPTA_MORDANE",5,"AERYS"
"NED","SEPTA_MORDANE",9,"AERYS"
"SANSA","SEPTA_MORDANE",64,"AERYS"
"CATELYN","TYWIN",6,"AERYS"
"JAIME","TYWIN",53,"AERYS"
"JOFFREY","TYWIN",61,"AERYS"
"NED","TYWIN",13,"AERYS"
"PYCELLE","TYWIN",12,"AERYS"
"RENLY","TYWIN",2,"AERYS"
"ROBERT","TYWIN",10,"AERYS"
"SANSA","TYWIN",14,"AERYS"
"BRAN","CATELYN",44,"ARYA"
"BAELOR","CERSEI",2,"ARYA"
"BRAN","CERSEI",4,"ARYA"
"CATELYN","CERSEI",22,"ARYA"
"BERIC","GENDRY",7,"ARYA"
"GENDRY","HOT_PIE",40,"ARYA"
"BAELOR","HOUND",2,"ARYA"
"BERIC","HOUND",25,"ARYA"
"BRAN","HOUND",2,"ARYA"
"CATELYN","HOUND",4,"ARYA"
"CERSEI","HOUND",12,"ARYA"
"GENDRY","HOUND",5,"ARYA"
"BAELOR","ILYN_PAYNE",3,"ARYA"
"CERSEI","ILYN_PAYNE",8,"ARYA"
"HOUND","ILYN_PAYNE",5,"ARYA"
"BRAN","JAIME",9,"ARYA"
"CATELYN","JAIME",61,"ARYA"
"CERSEI","JAIME",69,"ARYA"
"HOUND","JAIME",2,"ARYA"
"BAELOR","JOFFREY",2,"ARYA"
"BRAN","JOFFREY",3,"ARYA"
"CATELYN","JOFFREY",6,"ARYA"
"CERSEI","JOFFREY",158,"ARYA"
"HOUND","JOFFREY",67,"ARYA"
"ILYN_PAYNE","JOFFREY",6,"ARYA"
"JAIME","JOFFREY",13,"ARYA"
"BRAN","JON",27,"ARYA"
"CATELYN","JON",16,"ARYA"
"CERSEI","JON",3,"ARYA"
"JAIME","JON",12,"ARYA"
"JOFFREY","JON",2,"ARYA"
"JAIME","JORY_CASSEL",27,"ARYA"
"JAIME","KEVAN",5,"ARYA"
"CATELYN","LITTLEFINGER",50,"ARYA"
"CERSEI","LITTLEFINGER",51,"ARYA"
"HOUND","LITTLEFINGER",5,"ARYA"
"JAIME","LITTLEFINGER",7,"ARYA"
"JOFFREY","LITTLEFINGER",19,"ARYA"
"JORY_CASSEL","LITTLEFINGER",7,"ARYA"
"HOT_PIE","LOMMY_GREENHANDS",12,"ARYA"
