"Alter_ID","label","Degree","Strength","Gender","Culture","House","Titles","Is_Noble","Active","Survival","Ego_ID"
"AEGON","Aegon Targaryen",5,10,"Male","Essos","Great_Houses","None",0,0,0,"AERYS"
"BARRISTAN","Barristan Selmy",18,215,"Male","Westeros_South","Minor_Houses","Military_Knight",0,1,1,"AERYS"
"CATELYN","Catelyn Stark",56,1137,"Female","Westeros_South","Great_Houses","Nobility",1,3,0,"AERYS"
"JAIME","Jaime Lannister",39,876,"Male","Westeros_South","Great_Houses","Military_Knight",0,3,1,"AERYS"
"JOFFREY","Joffrey Baratheon",49,1079,"Male","None","None","Royalty",1,0,0,"AERYS"
"JORAH","Jorah Mormont",30,665,"Male","North_and_Wildlings","Minor_Houses","Military_Knight",0,0,1,"AERYS"
"MAESTER_AEMON","Aemon Targaryen",10,84,"Male","Essos","None","Religion_Academic",0,0,0,"AERYS"
"NED","Eddard Stark",62,1427,"Male","North_and_Wildlings","Great_Houses","Nobility",1,1,0,"AERYS"
"PYCELLE","Pycelle",26,343,"Male","None","Great_Houses","Religion_Academic",0,0,0,"AERYS"
"RENLY","Renly Baratheon",27,426,"Male","Westeros_South","Great_Houses","Nobility",1,0,0,"AERYS"
"RHAEGAR","Rhaegar Targaryen",2,5,"Male","Essos","Great_Houses","Royalty",1,0,0,"AERYS"
"RICKARD_STARK","Rickard Stark",4,12,"Male","North_and_Wildlings","None","Royalty",1,0,1,"AERYS"
"ROBERT","Robert I Baratheon",45,648,"Male","None","None","Royalty",1,0,0,"AERYS"
"SANSA","Sansa Stark",40,1110,"Female","North_and_Wildlings","Minor_Houses","Royalty",1,4,1,"AERYS"
"SEPTA_MORDANE","Mordane",6,95,"Female","None","Great_Houses","Religion_Academic",0,0,0,"AERYS"
"TYWIN","Tywin Lannister",42,799,"Male","None","Great_Houses","Nobility",1,0,0,"AERYS"
"AEGON","Aegon Targaryen",5,10,"Male","Essos","Great_Houses","None",0,0,0,"ARYA"
"BAELOR","Baelor I",9,30,"Male","None","None","Royalty",1,0,0,"ARYA"
"BERIC","Beric Dondarrion",9,121,"Male","None","Minor_Houses","Nobility",1,0,0,"ARYA"
"BRAN","Brandon Stark",33,851,"Male","North_and_Wildlings","Great_Houses","None",0,0,0,"ARYA"
"CATELYN","Catelyn Stark",56,1137,"Female","Westeros_South","Great_Houses","Nobility",1,3,0,"ARYA"
"CERSEI","Cersei Lannister",47,1347,"Female","Westeros_South","Great_Houses","Nobility",1,2,1,"ARYA"
"GENDRY","Gendry",20,377,"Male","None","None","Military_Knight",0,0,1,"ARYA"
"HOT_PIE","Hot Pie",11,145,"Male","None","None","None",0,0,1,"ARYA"
"HOUND","Sandor Clegane",31,444,"Male","None","Minor_Houses","None",0,0,0,"ARYA"
